label,timestamp,duration,pkg,dram,socket
fucntion_to_measure,1677506091.5727339,697.937,28015.0,793.0,0
fucntion_to_measure,1677506127.3543339,709.501,25696.0,732.0,0
fucntion_to_measure,1677506137.1571393,724.357,30335.0,794.0,0
fucntion_to_measure,1677506138.2152922,696.227,36804.0,1465.0,0
fucntion_to_measure,1677506139.3532393,691.832,26062.0,733.0,0
fucntion_to_measure,1677506139.9576852,705.348,48401.0,855.0,0
fucntion_to_measure,1677506140.3301136,871.241,40832.0,1953.0,0
fucntion_to_measure,1677506140.716652,794.697,33020.0,1465.0,0
fucntion_to_measure,1677506141.1013749,762.653,48706.0,1770.0,0
