epoch,timestamp,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
-1,,,,,0.01799496286843396,0.08821202531645572,0.4894185126582279
0,3.590332508087158,0.017982877191227632,0.10421108742004259,0.5348980543710021,0.017971123816280438,0.11224287974683542,0.6017602848101267
1,7.179743766784668,0.01796156368546014,0.1123067697228145,0.6496701759061836,0.017949569145146806,0.11224287974683542,0.7091574367088607
2,10.723571062088013,0.0179374699653593,0.1123067697228145,0.719499600213219,0.0179197955640811,0.11224287974683542,0.7297270569620252
3,14.35036301612854,0.017896911490764174,0.11230676972281448,0.7238972547974409,0.01786079811804657,0.11224287974683542,0.7621637658227847
4,18.021108627319336,0.017795933140461646,0.24043843283582098,0.775319829424307,0.017684970051050176,0.5010878164556961,0.7920292721518984
5,21.60993242263794,0.017354932496510822,0.5403951226012793,0.8270589019189764,0.0166225919759349,0.5658623417721521,0.8639240506329113
6,25.277302742004395,0.011527286264608538,0.7058235607675903,0.947194829424307,0.005390604545326927,0.7960838607594936,0.9706289556962024
7,28.870420932769775,0.004775162649227743,0.819029850746269,0.982875799573561,0.004029576305618296,0.8420688291139239,0.9765624999999998
8,32.564701795578,0.004041368023121053,0.8453824626865664,0.9865738272921105,0.003571168512188464,0.857990506329114,0.9797270569620256
9,36.19988465309143,0.0036268176710499197,0.8614239072494665,0.9892390724946698,0.003237127474526862,0.8720332278481012,0.9814082278481012
