epoch,timestamp,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
-1,,,,,0.01800164080496077,0.08821202531645572,0.4229628164556962
0,3.21785306930542,0.017972001432578197,0.1168043710021322,0.5857042910447762,0.017941034198561797,0.12045094936708862,0.6838409810126582
1,6.627097845077515,0.0179026966243347,0.14194096481876325,0.7356243336886992,0.01784850006239324,0.16880933544303792,0.7928204113924049
2,9.912341594696045,0.017733076043220466,0.36205690298507487,0.8294576226012789,0.0175184611514022,0.5457871835443039,0.8602650316455696
3,13.200586080551147,0.016193670609882537,0.5471248667377404,0.8866104744136454,0.01209959304078093,0.6380537974683548,0.9592563291139243
4,16.413678884506226,0.0067264854998341644,0.770205890191898,0.9795442430703617,0.004193776391764891,0.8346518987341773,0.9777492088607597
5,19.666692972183228,0.0038117149726612817,0.8541444562899785,0.9890225213219618,0.0031002910691313446,0.8741099683544306,0.9833860759493668
6,22.94592833518982,0.003061022352067822,0.8822961087420047,0.9927871801705758,0.002597127484063371,0.8911194620253168,0.9849683544303798
7,26.441636562347412,0.0026087059005439625,0.8981709754797441,0.9945362473347559,0.0022634153848932453,0.9033821202531647,0.9851661392405064
8,29.955848932266235,0.0022894834170241077,0.9104311034115141,0.9955190565031982,0.0020281234151931313,0.9096123417721519,0.9858583860759494
9,33.21428465843201,0.0020534099870994824,0.920142590618336,0.9962686567164182,0.0018175653608580697,0.9226661392405064,0.9857594936708858
