epoch,timestamp,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
-1,,,,,0.018005753360405743,0.07941060126582278,0.49367088607594933
0,3.6588196754455566,0.014146906014944893,0.5428771321961618,0.8434668176972282,0.004385549460148698,0.8315862341772148,0.9785403481012661
1,7.003850698471069,0.0032013952215787962,0.8793809968017064,0.9924207089552245,0.0023827304219225824,0.8967563291139239,0.9845727848101266
2,10.243690252304077,0.002168396814614097,0.9172108208955222,0.9959188432835823,0.0016864196053275819,0.9248417721518986,0.9873417721518991
3,13.478239059448242,0.0016437138204645524,0.9361340618336891,0.9974846748400852,0.0013074683115461734,0.9408623417721518,0.9877373417721518
4,16.726372957229614,0.001306664529266452,0.950109941364606,0.998084355010661,0.0010612006931469177,0.948971518987342,0.9880340189873414
5,19.985844135284424,0.0010768852827361607,0.9587719882729213,0.9984508262260126,0.0009105020881524752,0.955498417721519,0.9886273734177212
6,23.229576110839844,0.0009243683094582722,0.964452292110874,0.9987006929637521,0.0007862853707811616,0.9600474683544306,0.9886273734177212
7,26.528111934661865,0.0008110181529765951,0.969133128997868,0.9988006396588484,0.0006886918858578576,0.9618275316455697,0.9886273734177212
8,29.86159110069275,0.0007213200954447338,0.9722981076759062,0.9988839285714282,0.0006380041316943685,0.9646954113924052,0.9886273734177212
9,33.22071599960327,0.0006566842480414679,0.9740971481876336,0.9989339019189766,0.0006109344817732447,0.9652887658227847,0.9887262658227851
