epoch,timestamp,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
-1,,,,,0.017995405352756944,0.0546875,0.5000988924050634
0,3.542968988418579,0.01780423334936725,0.36692097547974417,0.7743536780383794,0.01745116427729401,0.5683346518987341,0.8670886075949369
1,7.0692431926727295,0.014368833933295652,0.6517190831556504,0.9250566364605546,0.006998418983590754,0.7986550632911396,0.9760680379746834
2,10.646191120147705,0.004216660230136569,0.8539945362473349,0.9885061300639658,0.0028678550689976326,0.8846914556962026,0.9839794303797468
3,14.217697143554688,0.002691244341379432,0.8974213752665242,0.9937033582089555,0.002192500788980765,0.9073378164556961,0.9861550632911394
4,17.725250720977783,0.002175556395008271,0.9157449360341146,0.9955190565031978,0.0018245304632221663,0.9214794303797466,0.9866495253164554
5,21.20850396156311,0.0018332843629788288,0.9290878198294239,0.9965684968017062,0.0015290305087500534,0.9327531645569618,0.987045094936709
6,24.721524715423584,0.0015828605781101806,0.9385994136460555,0.9973847281449899,0.0013626097554865564,0.9383900316455694,0.987242879746835
7,28.19173002243042,0.0013944801800240935,0.9462953091684436,0.9978844616204693,0.001191230511802685,0.9440268987341772,0.9876384493670886
8,31.68664836883545,0.0012521591074868975,0.9516591151385931,0.9982009594882734,0.0010942453077347372,0.9480814873417719,0.9877373417721518
9,35.22391653060913,0.001136405822592102,0.9563566098081026,0.9983508795309171,0.001012462800184649,0.9511471518987338,0.9877373417721518
