epoch,timestamp,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
-1,,,,,0.01796723871574371,0.13291139240506333,0.5351068037974678
0,3.7674849033355713,0.01614434949791569,0.577508662046908,0.8925239872068232,0.009570722933858631,0.7888647151898737,0.9756724683544304
1,7.280424356460571,0.004435542607749458,0.859558235607676,0.9898054371002131,0.0026956609298498676,0.8922072784810124,0.9830893987341771
2,11.25061559677124,0.0024914635302645868,0.9063332889125799,0.9944363006396587,0.0020017795494235934,0.9155458860759493,0.9853639240506328
3,15.005916118621826,0.0019948804412962514,0.9239738805970145,0.9965351812366743,0.0016536703486145841,0.9295886075949368,0.9865506329113926
4,18.641388416290283,0.0016697169197643818,0.9365005330490395,0.9972181503198295,0.001399929616069775,0.935818829113924,0.9870450949367088
5,22.435777187347412,0.0014276730410728855,0.9457789179104478,0.9976679104477615,0.0012108830515795551,0.943928006329114,0.9873417721518991
6,26.02621817588806,0.0012509266549631005,0.9525086620469075,0.9981176705756927,0.0010668941730371073,0.9494659810126582,0.9877373417721521
7,29.794988870620728,0.0011101589483052082,0.9584388326226011,0.9982842484008535,0.0009359917123127824,0.9542128164556966,0.9879351265822782
8,35.23348259925842,0.0009986247317165496,0.9626032782515989,0.9985674307036247,0.0009029390074127008,0.9553006329113923,0.9885284810126583
9,40.00155520439148,0.0009084243439326581,0.96530183901919,0.9986340618336883,0.0008033487913191399,0.9600474683544304,0.9886273734177212
