epoch,timestamp,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
-1,,,,,0.018025942028889165,0.07812500000000003,0.4936708860759492
0,3.411217451095581,0.010817741178401086,0.6808535447761198,0.9183435501066101,0.002996805159351495,0.8826147151898734,0.9829905063291139
1,6.896836519241333,0.0024773226931754685,0.9082989072494675,0.9946528518123666,0.0019351301660991116,0.9191060126582278,0.985759493670886
2,10.330986976623535,0.0017894978581893953,0.9321528518123676,0.996585154584222,0.0014192273740286797,0.9356210443037977,0.9872428797468358
3,13.795882225036621,0.0014142480480652461,0.9463619402985077,0.9976512526652445,0.0011327532620616463,0.948081487341772,0.9879351265822783
4,17.267355918884277,0.00116121051203795,0.9562066897654588,0.9981509861407256,0.0009429894314594039,0.9532238924050632,0.9880340189873416
5,20.713223934173584,0.0009766833185327992,0.9633861940298509,0.9983841950959496,0.0008270804185635423,0.9590585443037973,0.9883306962025316
6,24.132301330566406,0.0008522735245010538,0.9678671375266527,0.9986174040511727,0.0007097633775468044,0.9623219936708861,0.9884295886075949
7,27.681976556777954,0.0007529747222169442,0.9719316364605544,0.9987673240938165,0.0006225330819492966,0.9641020569620253,0.9888251582278479
8,31.123067617416382,0.0006776432454334582,0.9740804904051175,0.9988172974413647,0.000582845961398101,0.9665743670886074,0.9888251582278479
9,34.56057643890381,0.0006170628491935795,0.9766291311300639,0.9989672174840083,0.000549610764590144,0.9681566455696202,0.9886273734177217
